genabs 62 μένοντος ADV ἁρμόττοιεν ἁρμόζω σώματος σῶμα 8948110 3.10.15
genabs 63 κυρτουμένου ADV μένοντος μένω nosbj nosbj 8948115 3.10.15
genabs 64 οὔσης ADV ἔφη φημί γυναικὸς γυνή 8948166 3.11.1
genabs 65 μνησθέντος ADV εἴη εἰμί τινὸς τις 8948183 3.11.1
genabs 66 παυσαμένου ADV ἔφη φημί ζωγράφου ζωγράφος 8948261 3.11.2
genabs 67 εἰπόντος ADV ἔφη φημί τινος τις 8948318 3.11.3
genabs 68 ἀρρωστήσαντός ADV ἐπισκέψασθαι ἐπισκοπέω φίλου φίλος 8948834 3.11.10
genabs 69 ὀργιζομένου ADV ἔφη φημί τινος τις 8949860 3.13.1
genabs 70 λέγοντος ADV ἔφη φημί ἄλλου ἄλλος 8949905 3.13.2
genabs 71 λέγοντος ADV ἔφη φημί ἄλλου ἄλλος 8949942 3.13.3
genabs 72 κολάσαντος ADV ἤρετο ἔρομαι τινος τις 8950067 3.13.4
genabs 73 φοβουμένου ADV ἔφη φημί τινος τις 8950108 3.13.5
genabs 74 λέγοντος ADV ἤρετο ἔρομαι ἄλλου ἄλλος 8950213 3.13.6
genabs 75 ἠσκημένου ADV δοκεῖ δοκέω nosbj nosbj 8950337 3.13.6
genabs 76 ὄντος ADV ἔχοιμεν ἔχω λόγου λόγος 8950441 3.14.2
genabs 77 εἰπόντος ADV ἐπαύσατο παύω Σωκράτους Σωκράτης 8950594 3.14.4
genabs 78 παρόντων ADV δοκοίη δοκέω πολλῶν πολύς 8950754 3.14.6
genabs 79 παρόντος ADV ὠφέλει ὠφελέω ἐκείνου ἐκεῖνος 8950876 4.1.1
genabs 80 πυνθανομένου ADV διήνεγκε διαφέρω τινὸς τις 8951411 4.2.2
genabs 81 παρόντος ADV ἔφη φημί Εὐθυδήμου Εὐθύδημος 8951482 4.2.3
genabs 82 προτιθείσης ADV ἀφέξεται ἀπέχω πόλεως πόλις 8951520 4.2.3
genabs 83 βουλομένων ADV νομίζουσί νομίζω nosbj nosbj 8951824 4.2.6
genabs 84 πραγματευομένων ADV γίγνονται γίγνομαι πλειόνων πολύς 8951858 4.2.7
genabs 85 ἀκούοντος ADV ἔλεγε λέγω Εὐθυδήμου Εὐθύδημος 8951884 4.2.8
genabs 86 παρακαθεζομένου ADV ἔφη φημί Εὐθυδήμου Εὐθύδημος 8951911 4.2.8
genabs 87 ἐξαπατώντων ADV ἐστιν εἰμί τῶν ὁ 8952879 4.2.19
genabs 88 δημοκρατουμένης ADV παρασκευάζῃ παρασκευάζω πόλεως πόλις 8954343 4.2.36
genabs 89 προσιόντων ADV αἰσθανόμεθα αἰσθάνομαι αὐτῶν αὐτός 8955754 4.3.14
genabs 90 ἀπαγορευόντων ADV ἐπείσθη πείθω αὐτῶν αὐτός 8956111 4.4.3
genabs 91 εἰωθότων ADV ἠθέλησε ἐθέλω ἄλλων ἄλλος 8956151 4.4.4
genabs 92 ηὑρηκότος ADV ἀπολειφθείην ἀπολείπω nosbj nosbj 8956559 4.4.8
genabs 93 ψευδομαρτυροῦντος ADV ᾔσθησαι αἰσθάνομαι μου ἐγώ 8956691 4.4.11
genabs 94 ἐμμενόντων ADV γίγνονται γίγνομαι πολιτῶν πολίτης 8957210 4.4.16
genabs 95 ποιοῦντος ADV οἴει οἴομαι τοῦ ὁ 8958424 4.5.7
genabs 96 ἐπαναγομένων ADV ἐγίγνετο γίγνομαι λόγων λόγος 8960231 4.6.14
genabs 97 προσέχοντος ADV ἔφη φημί nosbj nosbj 8960900 4.7.9
genabs 98 φάσκοντος ADV ἐννοησάτω ἐννοέω αὐτοῦ αὐτός 8960957 4.8.1
genabs 99 γεγραμμένου ADV ἔφη φημί Μελήτου Μέλητος 8961192 4.8.4
genabs 100 ἐπιχειροῦντος ADV ἠναντιώθη ἐναντιόομαι μου ἐγώ 8961312 4.8.5
genabs 101 γιγνωσκόντων ADV διατελοῦσι διατελέω τῶν ὁ 8961659 4.8.11
